0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:48 +0000] "GET /BTS/Controle/List?classeId=26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:49 +0000] "GET /BTS/ControleNote/List?controleId=26 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:58 +0000] "POST /BTS/ControleNote/Add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:58 +0000] "GET /BTS/ControleNote/List?controleId=26 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:10 +0000] "GET /BTS/E.Professeur/Controle?id=26 HTTP/1.1" 200 53391
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:10 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:10 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:11 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:11 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:11 +0000] "GET /BTS/Controle/List?classeId=26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:15:11 +0000] "GET /BTS/ControleNote/List?controleId=26 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:04 +0000] "GET /BTS/Controle/Delete?id=26 HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:04 +0000] "GET /BTS/Controle/List?classeId=2 HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:13 +0000] "GET /BTS/E.Professeur/Controle?id=25 HTTP/1.1" 200 53391
